[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, 7.000000, 0.000000), vel: (0.000000, -10.000000, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -3.000000, 0.000000), vel: (0.000000, -16.000000, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -19.000000, 0.000000), vel: (0.000000, -19.600000, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -38.599998, 0.000000), vel: (0.000000, -21.760000, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -60.360001, 0.000000), vel: (0.000000, -23.056000, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -83.416000, 0.000000), vel: (0.000000, -23.833599, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -107.249603, 0.000000), vel: (0.000000, -24.300159, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -131.549759, 0.000000), vel: (0.000000, -24.580095, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -156.129852, 0.000000), vel: (0.000000, -24.748058, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -180.877914, 0.000000), vel: (0.000000, -24.848835, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -205.726746, 0.000000), vel: (0.000000, -24.909302, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -230.636047, 0.000000), vel: (0.000000, -24.945580, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -255.581635, 0.000000), vel: (0.000000, -24.967346, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -280.548981, 0.000000), vel: (0.000000, -24.980408, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -305.529388, 0.000000), vel: (0.000000, -24.988243, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -330.517639, 0.000000), vel: (0.000000, -24.992947, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -355.510590, 0.000000), vel: (0.000000, -24.995768, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -380.506348, 0.000000), vel: (0.000000, -24.997459, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -405.503815, 0.000000), vel: (0.000000, -24.998474, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -430.502289, 0.000000), vel: (0.000000, -24.999084, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -455.501373, 0.000000), vel: (0.000000, -24.999451, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -480.500824, 0.000000), vel: (0.000000, -24.999670, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -505.500488, 0.000000), vel: (0.000000, -24.999802, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -530.500305, 0.000000), vel: (0.000000, -24.999882, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -20.794867, 0.000000), vel: (0.000000, -18.049774, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, 7.000000, 0.000000), vel: (0.000000, -10.000000, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -3.000000, 0.000000), vel: (0.000000, -16.000000, 0.000000)
[SPHERE] -> radius: 1.000000, mass: 1.000000, pos: (0.000000, -19.000000, 0.000000), vel: (0.000000, -19.600000, 0.000000)
